date,gem,min,max
2016/04/05,106,80,133
2016/04/06,89,68,117
2016/04/07,73,53,104
2016/04/08,67,16,115
2016/04/09,92,10,149
2016/04/10,107,52,157
2016/04/11,132,73,182
2016/04/12,116,50,167
2016/04/13,90,36,158
2016/04/14,106,29,167
2016/04/15,103,89,141
2016/04/16,86,54,118
2016/04/17,62,10,106
2016/04/18,81,-1,130
2016/04/19,97,40,136
2016/04/20,86,30,138
2016/04/21,101,27,166
2016/04/22,87,57,125
2016/04/23,62,30,93
2016/04/24,46,21,88
2016/04/25,49,17,80
2016/04/26,48,13,77
2016/04/27,60,32,107
2016/04/28,58,7,93
2016/04/29,74,46,106
2016/04/30,77,28,112
2016/05/01,79,-1,141
